SERIALNO,PUMA,HINCP,WGTP,NP,state
2019GQ0050112,308,-60000,0,1,15
2019GQ0050343,304,-60000,0,1,15
2019GQ0050494,302,-60000,0,1,15
2019GQ0050587,307,-60000,0,1,15
2019GQ0050706,307,-60000,0,1,15
2019GQ0050933,200,-60000,0,1,15
2019GQ0051010,306,-60000,0,1,15
2019GQ0051126,306,-60000,0,1,15
2019GQ0051201,305,-60000,0,1,15
2019GQ0051207,200,-60000,0,1,15
2019GQ0051555,301,-60000,0,1,15
2019GQ0051797,302,-60000,0,1,15
2019GQ0051845,100,-60000,0,1,15
2019GQ0051859,306,-60000,0,1,15
2019GQ0052342,200,-60000,0,1,15
2019GQ0052353,305,-60000,0,1,15
2019GQ0052443,200,-60000,0,1,15
2019GQ0052497,304,-60000,0,1,15
2019GQ0052512,305,-60000,0,1,15
2019GQ0052560,306,-60000,0,1,15
2019GQ0052814,306,-60000,0,1,15
2019GQ0052887,306,-60000,0,1,15
2019GQ0052968,306,-60000,0,1,15
2019GQ0052988,301,-60000,0,1,15
2019GQ0053135,302,-60000,0,1,15
2019GQ0053762,100,-60000,0,1,15
2019GQ0054714,100,-60000,0,1,15
2019GQ0054739,305,-60000,0,1,15
2019GQ0054815,305,-60000,0,1,15
2019GQ0055227,301,-60000,0,1,15
2019GQ0055489,304,-60000,0,1,15
2019GQ0055624,306,-60000,0,1,15
2019GQ0055756,305,-60000,0,1,15
2019GQ0056202,302,-60000,0,1,15
2019GQ0056613,306,-60000,0,1,15
2019GQ0056838,302,-60000,0,1,15
2019GQ0056935,100,-60000,0,1,15
2019GQ0057242,307,-60000,0,1,15
2019GQ0057568,301,-60000,0,1,15
2019GQ0058139,200,-60000,0,1,15
2019GQ0058832,305,-60000,0,1,15
2019GQ0058870,302,-60000,0,1,15
2019GQ0059149,306,-60000,0,1,15
2019GQ0059265,301,-60000,0,1,15
2019GQ0059343,306,-60000,0,1,15
2019GQ0059598,306,-60000,0,1,15
2019GQ0059672,301,-60000,0,1,15
2019GQ0059801,305,-60000,0,1,15
2019GQ0060037,200,-60000,0,1,15
2019GQ0060381,305,-60000,0,1,15
2019GQ0060473,306,-60000,0,1,15
2019GQ0060762,301,-60000,0,1,15
2019GQ0060836,305,-60000,0,1,15
2019GQ0061050,302,-60000,0,1,15
2019GQ0061151,302,-60000,0,1,15
2019GQ0061163,301,-60000,0,1,15
2019GQ0061170,303,-60000,0,1,15
2019GQ0061236,308,-60000,0,1,15
2019GQ0061524,100,-60000,0,1,15
