occupation_code,occupation_title,years_available,year_range,avg_employment,avg_mean_wage,avg_median_wage,total_wage_growth,annual_wage_growth
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",5,2020-2024,96.0,53790.0,50228.0,0.6107579462102689,0.12656841405625818
49-9092,Commercial Divers,3,2022-2024,43.333333333333336,89370.0,89986.66666666667,0.13840502429197774,0.06696064795847922
49-9094,Locksmiths and Safe Repairers,4,2020-2023,56.666666666666664,57415.0,59015.0,-0.15268085106382978,-0.05372868812616982
49-9096,Riggers,5,2020-2024,180.0,69370.0,72888.0,0.13718026796589525,0.032659937811557516
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",5,2020-2024,420.0,45946.0,47688.0,0.11794757885384273,0.02826572535214167
49-9099,"Installation, Maintenance, and Repair Workers, All Other",5,2020-2024,742.0,70858.0,72994.0,0.2666017210586134,0.06086474846178658
51-1011,First-Line Supervisors of Production and Operating Workers,5,2020-2024,1578.0,71204.0,62356.0,0.06892606892606892,0.016803230120105317
51-2041,Structural Metal Fabricators and Fitters,2,2020-2021,35.0,63000.0,63535.0,0.14943705220061412,0.1494370522006141
51-2090,Miscellaneous Assemblers and Fabricators,5,2020-2024,344.0,41658.0,39316.0,0.254465512503435,0.058314341900112865
51-3011,Bakers,5,2020-2024,1252.0,40792.0,36826.0,0.16873187450566834,0.0397495046872931
51-3021,Butchers and Meat Cutters,5,2020-2024,468.0,48420.0,47948.0,0.15634086334153433,0.03698259780283064
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",5,2020-2024,640.0,36558.0,35910.0,0.4511900655398413,0.09756708421344285
51-3023,Slaughterers and Meat Packers,5,2020-2024,148.0,33300.0,32504.0,0.20904977375565612,0.04860287723639911
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",5,2020-2024,144.0,36626.0,35768.0,0.07135416666666666,0.017380163692503947
51-3092,Food Batchmakers,5,2020-2024,500.0,33840.0,31176.0,0.19303291786513263,0.04511265539433662
