zip_code,actual_county,puma_county,puma_code
96752,Honolulu,Honolulu,308.0
96752,Honolulu,Honolulu,301.0
96752,Honolulu,Honolulu,302.0
96753,Honolulu,Honolulu,304.0
96753,Honolulu,Honolulu,305.0
96753,Honolulu,Honolulu,307.0
96753,Honolulu,Honolulu,303.0
96753,Honolulu,Honolulu,306.0
96753,Honolulu,Honolulu,308.0
96753,Honolulu,Honolulu,301.0
96753,Honolulu,Honolulu,302.0
96754,Honolulu,Honolulu,304.0
96754,Honolulu,Honolulu,305.0
96754,Honolulu,Honolulu,307.0
96754,Honolulu,Honolulu,303.0
96754,Honolulu,Honolulu,306.0
96754,Honolulu,Honolulu,308.0
96754,Honolulu,Honolulu,301.0
96754,Honolulu,Honolulu,302.0
96755,Honolulu,Honolulu,304.0
96755,Honolulu,Honolulu,305.0
96755,Honolulu,Honolulu,307.0
96755,Honolulu,Honolulu,303.0
96755,Honolulu,Honolulu,306.0
96755,Honolulu,Honolulu,308.0
96755,Honolulu,Honolulu,301.0
96755,Honolulu,Honolulu,302.0
96756,Honolulu,Honolulu,304.0
96756,Honolulu,Honolulu,305.0
96756,Honolulu,Honolulu,307.0
96756,Honolulu,Honolulu,303.0
96756,Honolulu,Honolulu,306.0
96756,Honolulu,Honolulu,308.0
96756,Honolulu,Honolulu,301.0
96756,Honolulu,Honolulu,302.0
96757,Honolulu,Honolulu,304.0
96757,Honolulu,Honolulu,305.0
96757,Honolulu,Honolulu,307.0
96757,Honolulu,Honolulu,303.0
96757,Honolulu,Honolulu,306.0
96757,Honolulu,Honolulu,308.0
96757,Honolulu,Honolulu,301.0
96757,Honolulu,Honolulu,302.0
96758,Honolulu,Honolulu,304.0
96758,Honolulu,Honolulu,305.0
96758,Honolulu,Honolulu,307.0
96758,Honolulu,Honolulu,303.0
96758,Honolulu,Honolulu,306.0
96758,Honolulu,Honolulu,308.0
96758,Honolulu,Honolulu,301.0
96758,Honolulu,Honolulu,302.0
96759,Honolulu,Honolulu,304.0
96759,Honolulu,Honolulu,305.0
96759,Honolulu,Honolulu,307.0
96759,Honolulu,Honolulu,303.0
96759,Honolulu,Honolulu,306.0
96759,Honolulu,Honolulu,308.0
96759,Honolulu,Honolulu,301.0
96759,Honolulu,Honolulu,302.0
96760,Honolulu,Honolulu,304.0
96760,Honolulu,Honolulu,305.0
96760,Honolulu,Honolulu,307.0
96760,Honolulu,Honolulu,303.0
96760,Honolulu,Honolulu,306.0
96760,Honolulu,Honolulu,308.0
