Year Month,Tax Type,Amount
Oct 2018,Liquor,3708780.28
Oct 2018,Inheritance/Estate,1799915.5
Oct 2018,Individual Income,202704983.89000002
Nov 2018,Corporate Income,5538094.81
Nov 2018,Public Service Co.,9998260.64
Nov 2018,Inheritance/Estate,1001786.8
Nov 2018,Liquor,4497785.56
Nov 2018,General Excise & Use,277260034.53
Nov 2018,Fuel,18029920.54
Nov 2018,County Surcharges,19431957.43
Nov 2018,Rental Vehicle,4441452.34
Nov 2018,Tobacco,7942886.76
Nov 2018,Individual Income,173454509.13
Nov 2018,Transient Accommodation,40164638.84
Nov 2018,All Others,10013.6
Nov 2018,Banks/Financial Corp,513763.13
Dec 2018,Rental Vehicle,4224255.03
Dec 2018,County Surcharges,22268030.96
Dec 2018,General Excise & Use,280448536.65000004
Dec 2018,Liquor,4619530.91
Dec 2018,Corporate Income,23592660.38
Dec 2018,Tobacco,10133370.87
Dec 2018,Individual Income,201121685.14
Dec 2018,Banks/Financial Corp,-1475663.08
Dec 2018,Public Service Co.,10122811.23
Dec 2018,Fuel,16399743.16
Dec 2018,Inheritance/Estate,4896162.12
Dec 2018,Transient Accommodation,39377871.94
Dec 2018,All Others,31686.12
Jan 2019,County Surcharges,25467981.08
Jan 2019,Fuel,17182407.32
Jan 2019,General Excise & Use,337895037.48999995
Jan 2019,Liquor,4980567.07
Jan 2019,Public Service Co.,11140986.56
Jan 2019,Corporate Income,20952135.63
Jan 2019,Tobacco,10725151.71
Jan 2019,Transient Accommodation,58905317.91
Jan 2019,Individual Income,312753152.12
Jan 2019,Banks/Financial Corp,3695101.21
Jan 2019,All Others,24993.75
Jan 2019,Rental Vehicle,4242233.39
Jan 2019,Inheritance/Estate,-1084149.8
Feb 2019,Transient Accommodation,58918723.88
Feb 2019,Rental Vehicle,6698993.22
Feb 2019,Individual Income,80475872.09000002
Feb 2019,Inheritance/Estate,-530713.78
Feb 2019,Liquor,4120300.91
Feb 2019,Corporate Income,-19412016.02
Feb 2019,Fuel,17372383.33
Feb 2019,Tobacco,8653897.31
Feb 2019,Public Service Co.,11370556.79
Feb 2019,County Surcharges,28776250.72
Feb 2019,General Excise & Use,302793173.51
Feb 2019,All Others,20487.38
Feb 2019,Banks/Financial Corp,3132867.17
Mar 2019,Rental Vehicle,6291796.69
Mar 2019,Individual Income,131022589.88
Mar 2019,Public Service Co.,11213748.28
Mar 2019,Inheritance/Estate,459573.83
Mar 2019,County Surcharges,23783384.08
Mar 2019,Liquor,3898421.21
Mar 2019,Tobacco,7902475.95
Mar 2019,General Excise & Use,275886326.94
Mar 2019,Transient Accommodation,49338456.38
Mar 2019,Fuel,15691786.63
Mar 2019,All Others,4815.06
Mar 2019,Banks/Financial Corp,3531816.15
Mar 2019,Corporate Income,15950467.690000001
Apr 2019,Liquor,4141843.67
Apr 2019,Rental Vehicle,5072998.71
Apr 2019,Tobacco,10603633.66
Apr 2019,General Excise & Use,323263259.34000003
Apr 2019,Transient Accommodation,56409070.16
Apr 2019,Inheritance/Estate,1618524.2
Apr 2019,Public Service Co.,12117133.65
Apr 2019,Fuel,17400393.33
Apr 2019,Corporate Income,45744489.16
Apr 2019,Individual Income,354885147.09000003
Apr 2019,All Others,5021.77
Apr 2019,Banks/Financial Corp,8841688.89
Apr 2019,County Surcharges,19852475.18
May 2019,County Surcharges,28908475.81
May 2019,Fuel,17165549.83
May 2019,General Excise & Use,312436866.69
May 2019,Inheritance/Estate,1652437.1
May 2019,Liquor,4320625.97
May 2019,Public Service Co.,9157360.94
May 2019,Corporate Income,12288443.25
May 2019,Rental Vehicle,4800205.59
May 2019,Tobacco,7864920.89
May 2019,Transient Accommodation,51558730.65
May 2019,Individual Income,298430371.34000003
May 2019,All Others,12923.33
May 2019,Banks/Financial Corp,3682037.19
Jun 2019,All Others,3141.79
Jun 2019,Public Service Co.,11277512.83
Jun 2019,Individual Income,234446224.24
Jun 2019,Corporate Income,22154777.35
Jun 2019,Rental Vehicle,4604110.82
Jun 2019,Banks/Financial Corp,3613030.97
Jun 2019,Transient Accommodation,42573021.83
Jun 2019,Tobacco,9682527.04
Jun 2019,Inheritance/Estate,2062370.56
Jun 2019,General Excise & Use,262866015.49
Jun 2019,Fuel,17799950.7
Jun 2019,County Surcharges,29074401.51
Jun 2019,Liquor,4536324.64
Jul 2019,Transient Accommodation,60087473.4
Jul 2019,County Surcharges,29787041.95
Jul 2019,General Excise & Use,329321359.39000005
Jul 2019,Inheritance/Estate,6416198.4
Jul 2019,Liquor,4346940.93
Jul 2019,Tobacco,9050230.69
